Name,Years of Experience,Skills,Education,Previous Job Titles,Certifications,Project Management Experience,HR Experience,Payroll Experience,Compensation Experience,Absences Management Experience
Charlie Davis,12,"JavaScript, React, Node.js",Masters in Information Technology,Data Scientist,Google Data Engineer,False,False,False,False,True
Charlie Davis,18,"HR Management, Payroll",Bachelors in Business Administration,Software Engineer,Cisco Certified Network Associate,False,True,True,True,True
Alice Johnson,2,"JavaScript, React, Node.js",Bachelors in Electronics,Software Engineer,AWS Certified Solutions Architect,False,True,False,False,True
Alice Johnson,8,"C++, Embedded Systems",Bachelors in Electronics,Embedded Systems Engineer,Google Data Engineer,False,False,True,True,False
Alice Johnson,5,"Python, SQL, Machine Learning",MBA in HR,Software Engineer,Certified Scrum Master,True,True,True,False,True
Jane Smith,3,"JavaScript, React, Node.js",Bachelors in Business Administration,HR Manager,Google Data Engineer,False,True,True,True,True
Jane Smith,4,"Java, Spring, Hibernate",Masters in Information Technology,Web Developer,SHRM Certified Professional,False,False,True,True,False
Jane Smith,13,"Python, SQL, Machine Learning",Bachelors in Electronics,HR Manager,Cisco Certified Network Associate,True,True,False,False,False
Jane Smith,19,"HR Management, Payroll",Bachelors in Electronics,HR Manager,Google Data Engineer,True,True,True,False,True
Jane Smith,8,"C++, Embedded Systems",Bachelors in Electronics,Embedded Systems Engineer,Google Data Engineer,False,True,False,True,False
Bob Brown,4,"Python, SQL, Machine Learning",Bachelors in Computer Science,Web Developer,SHRM Certified Professional,True,True,False,False,True
Bob Brown,9,"C++, Embedded Systems",Masters in Information Technology,Software Engineer,SHRM Certified Professional,False,False,True,True,False
John Doe,19,"JavaScript, React, Node.js",Bachelors in Business Administration,Software Engineer,SHRM Certified Professional,False,False,False,False,True
Jane Smith,8,"HR Management, Payroll",Bachelors in Electronics,Web Developer,Certified Scrum Master,False,False,True,True,False
Alice Johnson,19,"C++, Embedded Systems",Bachelors in Business Administration,Data Scientist,Certified Scrum Master,False,False,True,True,False
Jane Smith,13,"C++, Embedded Systems",MBA in HR,Embedded Systems Engineer,Cisco Certified Network Associate,True,True,True,True,True
Alice Johnson,18,"Python, SQL, Machine Learning",MBA in HR,Data Scientist,Google Data Engineer,False,True,True,False,False
Jane Smith,10,"JavaScript, React, Node.js",MBA in HR,Data Scientist,Cisco Certified Network Associate,False,True,True,False,True
Jane Smith,17,"HR Management, Payroll",Bachelors in Business Administration,Embedded Systems Engineer,AWS Certified Solutions Architect,True,False,False,True,False
Jane Smith,13,"JavaScript, React, Node.js",Bachelors in Computer Science,Software Engineer,Google Data Engineer,False,False,True,False,False
Charlie Davis,19,"JavaScript, React, Node.js",Bachelors in Electronics,Data Scientist,AWS Certified Solutions Architect,False,False,False,False,False
Bob Brown,6,"HR Management, Payroll",Bachelors in Electronics,Web Developer,Certified Scrum Master,True,False,True,True,False
Bob Brown,15,"JavaScript, React, Node.js",Masters in Information Technology,Embedded Systems Engineer,SHRM Certified Professional,True,True,False,False,False
John Doe,6,"JavaScript, React, Node.js",Masters in Information Technology,Web Developer,Cisco Certified Network Associate,False,True,True,False,False
